Month,,Precipitation
18760101,9.000000, 
18760102,0.8000001, 
18760103,0.000000, 
18760104,0.000000, 
18760105,1.200000, 
18760106,2.600000, 
18760107,0.000000, 
18760108,0.000000, 
18760109,0.000000, 
18760110,0.000000, 
18760111,0.000000, 
18760112,0.000000, 
18760113,0.000000, 
18760114,0.6000000, 
18760115,0.000000, 
18760116,0.000000, 
18760117,0.1000000, 
18760118,0.8000001, 
18760119,0.000000, 
18760120,0.000000, 
18760121,2.800000, 
18760122,1.700000, 
18760123,0.000000, 
18760124,0.000000, 
18760125,0.000000, 
18760126,0.000000, 
18760127,0.000000, 
18760128,0.000000, 
18760129,0.000000, 
18760130,0.000000, 
18760131,0.000000, 
18760201,0.000000, 
18760202,0.000000, 
18760203,0.000000, 
18760204,0.6999999, 
18760205,9.200000, 
18760206,7.200000, 
18760207,4.500000, 
18760208,2.700000, 
18760209,5.900001, 
18760210,0.000000, 
18760211,0.000000, 
18760212,0.000000, 
18760213,5.000000, 
18760214,2.500000, 
18760215,0.000000, 
18760216,4.000000, 
18760217,14.40000, 
18760218,0.5000000, 
18760219,1.400000, 
18760220,0.000000, 
18760221,5.800000, 
18760222,1.500000, 
18760223,6.300000, 
18760224,0.4000000, 
18760225,0.5000000, 
18760226,9.099999, 
18760227,1.100000, 
18760228,3.400000, 
18760229,5.400001, 
18760301,3.800000, 
18760302,6.000000, 
18760303,14.50000, 
18760304,2.800000, 
18760305,6.200000, 
18760306,7.900001, 
18760307,6.200000, 
18760308,7.300000, 
18760309,3.500000, 
18760310,0.000000, 
18760311,6.300000, 
18760312,22.70000, 
18760313,2.000000, 
18760314,2.100000, 
18760315,3.900000, 
18760316,1.700000, 
18760317,0.000000, 
18760318,0.1000000, 
18760319,0.3000000, 
18760320,0.000000, 
18760321,11.50000, 
18760322,2.300000, 
18760323,2.400000, 
18760324,0.000000, 
18760325,8.300000, 
18760326,6.200000, 
18760327,0.000000, 
18760328,0.000000, 
18760329,0.9000000, 
18760330,0.000000, 
18760331,0.000000, 
18760401,0.000000, 
18760402,0.000000, 
18760403,0.000000, 
18760404,0.000000, 
18760405,0.000000, 
18760406,0.000000, 
18760407,0.000000, 
18760408,0.000000, 
18760409,0.000000, 
18760410,0.2000000, 
18760411,0.000000, 
18760412,2.200000, 
18760413,0.000000, 
18760414,0.000000, 
18760415,0.1000000, 
18760416,8.099999, 
18760417,0.000000, 
18760418,0.000000, 
18760419,0.000000, 
18760420,0.000000, 
18760421,14.60000, 
18760422,0.000000, 
18760423,1.300000, 
18760424,0.000000, 
18760425,0.000000, 
18760426,3.200000, 
18760427,0.6000000, 
18760428,0.2000000, 
18760429,1.200000, 
18760430,0.000000, 
18760501,1.800000, 
18760502,0.000000, 
18760503,0.000000, 
18760504,0.000000, 
18760505,0.000000, 
18760506,0.000000, 
18760507,0.000000, 
18760508,0.000000, 
18760509,0.000000, 
18760510,0.000000, 
18760511,0.000000, 
18760512,0.000000, 
18760513,1.200000, 
18760514,0.000000, 
18760515,0.000000, 
18760516,0.000000, 
18760517,0.000000, 
18760518,0.000000, 
18760519,0.000000, 
18760520,0.000000, 
18760521,0.000000, 
18760522,0.000000, 
18760523,0.8000001, 
18760524,0.1000000, 
18760525,0.3000000, 
18760526,2.300000, 
18760527,5.599999, 
18760528,0.8000001, 
18760529,0.000000, 
18760530,0.000000, 
18760531,4.600000, 
18760601,1.200000, 
18760602,0.000000, 
18760603,1.000000, 
18760604,0.000000, 
18760605,0.000000, 
18760606,0.000000, 
18760607,22.10000, 
18760608,0.5000000, 
18760609,5.000000, 
18760610,0.000000, 
18760611,4.100000, 
18760612,17.70000, 
18760613,1.400000, 
18760614,0.000000, 
18760615,2.600000, 
18760616,0.6999999, 
18760617,0.5000000, 
18760618,0.000000, 
18760619,0.000000, 
18760620,0.000000, 
18760621,0.000000, 
18760622,0.000000, 
18760623,0.000000, 
18760624,0.000000, 
18760625,0.000000, 
18760626,0.000000, 
18760627,0.000000, 
18760628,0.000000, 
18760629,2.100000, 
18760630,3.500000, 
18760701,0.000000, 
18760702,0.3000000, 
18760703,0.000000, 
18760704,0.9000000, 
18760705,0.000000, 
18760706,0.000000, 
18760707,0.8000001, 
18760708,7.599999, 
18760709,2.500000, 
18760710,0.2000000, 
18760711,0.5000000, 
18760712,0.1000000, 
18760713,0.000000, 
18760714,0.000000, 
18760715,0.000000, 
18760716,0.000000, 
18760717,0.000000, 
18760718,11.30000, 
18760719,7.300000, 
18760720,0.000000, 
18760721,0.000000, 
18760722,0.000000, 
18760723,0.000000, 
18760724,0.000000, 
18760725,0.000000, 
18760726,0.000000, 
18760727,7.099999, 
18760728,4.600000, 
18760729,0.000000, 
18760730,0.000000, 
18760731,0.000000, 
18760801,0.000000, 
18760802,0.000000, 
18760803,0.000000, 
18760804,0.000000, 
18760805,0.6000000, 
18760806,0.000000, 
18760807,4.400000, 
18760808,0.6000000, 
18760809,0.000000, 
18760810,0.000000, 
18760811,0.000000, 
18760812,0.000000, 
18760813,0.000000, 
18760814,0.000000, 
18760815,0.000000, 
18760816,0.000000, 
18760817,0.000000, 
18760818,0.000000, 
18760819,0.000000, 
18760820,0.000000, 
18760821,0.000000, 
18760822,12.50000, 
18760823,1.600000, 
18760824,0.000000, 
18760825,0.000000, 
18760826,0.000000, 
18760827,2.800000, 
18760828,0.000000, 
18760829,7.400001, 
18760830,2.000000, 
18760831,1.400000, 
18760901,5.700000, 
18760902,0.000000, 
18760903,0.5000000, 
18760904,0.000000, 
18760905,0.2000000, 
18760906,1.400000, 
18760907,1.300000, 
18760908,0.6999999, 
18760909,0.000000, 
18760910,0.3000000, 
18760911,0.6999999, 
18760912,0.000000, 
18760913,2.300000, 
18760914,5.800000, 
18760915,7.099999, 
18760916,0.000000, 
18760917,0.2000000, 
18760918,0.4000000, 
18760919,3.000000, 
18760920,4.100000, 
18760921,0.000000, 
18760922,0.000000, 
18760923,0.5000000, 
18760924,11.30000, 
18760925,7.800000, 
18760926,2.500000, 
18760927,2.100000, 
18760928,9.700000, 
18760929,0.4000000, 
18760930,7.599999, 
18761001,0.000000, 
18761002,0.000000, 
18761003,0.000000, 
18761004,0.3000000, 
18761005,0.000000, 
18761006,0.000000, 
18761007,0.000000, 
18761008,0.000000, 
18761009,0.000000, 
18761010,0.000000, 
18761011,1.000000, 
18761012,0.000000, 
18761013,0.000000, 
18761014,0.000000, 
18761015,0.000000, 
18761016,0.000000, 
18761017,0.000000, 
18761018,0.000000, 
18761019,0.000000, 
18761020,0.000000, 
18761021,0.000000, 
18761022,0.000000, 
18761023,0.000000, 
18761024,0.000000, 
18761025,0.000000, 
18761026,0.000000, 
18761027,3.400000, 
18761028,0.000000, 
18761029,4.800000, 
18761030,0.000000, 
18761031,1.900000, 
18761101,9.599999, 
18761102,6.000000, 
18761103,5.000000, 
18761104,0.000000, 
18761105,3.400000, 
18761106,3.500000, 
18761107,11.30000, 
18761108,0.9000000, 
18761109,0.6000000, 
18761110,0.000000, 
18761111,0.000000, 
18761112,0.2000000, 
18761113,3.400000, 
18761114,0.000000, 
18761115,0.000000, 
18761116,0.000000, 
18761117,0.000000, 
18761118,5.200000, 
18761119,0.000000, 
18761120,0.000000, 
18761121,0.000000, 
18761122,0.000000, 
18761123,0.000000, 
18761124,0.000000, 
18761125,0.000000, 
18761126,0.8000001, 
18761127,3.900000, 
18761128,1.400000, 
18761129,2.300000, 
18761130,0.000000, 
18761201,2.800000, 
18761202,1.700000, 
18761203,1.600000, 
18761204,5.900001, 
18761205,0.000000, 
18761206,0.000000, 
18761207,5.900001, 
18761208,0.3000000, 
18761209,2.700000, 
18761210,4.900000, 
18761211,2.700000, 
18761212,0.000000, 
18761213,0.000000, 
18761214,0.000000, 
18761215,0.000000, 
18761216,0.000000, 
18761217,0.000000, 
18761218,0.6000000, 
18761219,1.600000, 
18761220,5.300000, 
18761221,0.000000, 
18761222,0.000000, 
18761223,0.000000, 
18761224,0.000000, 
18761225,0.000000, 
18761226,0.000000, 
18761227,7.599999, 
18761228,15.10000, 
18761229,5.599999, 
18761230,0.6999999, 
18761231,0.6000000, 
18770101,2.900000, 
18770102,0.6000000, 
18770103,1.700000, 
18770104,2.500000, 
18770105,0.8000001, 
18770106,0.000000, 
18770107,0.2000000, 
18770108,1.200000, 
18770109,0.000000, 
18770110,4.000000, 
18770111,3.300000, 
18770112,0.2000000, 
18770113,0.2000000, 
18770114,0.000000, 
18770115,2.300000, 
18770116,0.000000, 
18770117,0.000000, 
18770118,0.000000, 
18770119,7.400001, 
18770120,17.10000, 
18770121,0.000000, 
18770122,0.2000000, 
18770123,0.000000, 
18770124,0.000000, 
18770125,0.000000, 
18770126,0.000000, 
18770127,1.900000, 
18770128,1.200000, 
18770129,4.000000, 
18770130,10.40000, 
18770131,2.500000, 
18770201,0.000000, 
18770202,0.8000001, 
18770203,0.6000000, 
18770204,1.900000, 
18770205,2.800000, 
18770206,4.500000, 
18770207,0.9000000, 
18770208,1.700000, 
18770209,14.10000, 
18770210,6.099999, 
18770211,11.30000, 
18770212,4.300000, 
18770213,0.000000, 
18770214,1.200000, 
18770215,0.000000, 
18770216,0.000000, 
18770217,0.000000, 
18770218,0.000000, 
18770219,6.300000, 
18770220,0.4000000, 
18770221,22.60000, 
18770222,6.800000, 
18770223,0.000000, 
18770224,12.00000, 
18770225,10.30000, 
18770226,2.300000, 
18770227,10.60000, 
18770228,0.000000, 
18770301,0.000000, 
18770302,0.000000, 
18770303,0.000000, 
18770304,1.400000, 
18770305,0.5000000, 
18770306,0.000000, 
18770307,0.000000, 
18770308,0.000000, 
18770309,0.2000000, 
18770310,0.000000, 
18770311,0.000000, 
18770312,8.000000, 
18770313,0.9000000, 
18770314,2.600000, 
18770315,1.800000, 
18770316,0.2000000, 
18770317,0.000000, 
18770318,0.3000000, 
18770319,3.600000, 
18770320,9.300000, 
18770321,0.000000, 
18770322,0.000000, 
18770323,0.000000, 
18770324,0.000000, 
18770325,0.000000, 
18770326,0.000000, 
18770327,2.700000, 
18770328,3.400000, 
18770329,4.200000, 
18770330,0.000000, 
18770331,4.800000, 
18770401,0.000000, 
18770402,0.6999999, 
18770403,0.000000, 
18770404,6.200000, 
18770405,1.300000, 
18770406,0.000000, 
18770407,0.000000, 
18770408,0.000000, 
18770409,0.000000, 
18770410,0.000000, 
18770411,0.000000, 
18770412,0.000000, 
18770413,0.000000, 
18770414,0.000000, 
18770415,0.000000, 
18770416,0.000000, 
18770417,0.000000, 
18770418,0.000000, 
18770419,0.3000000, 
18770420,0.6000000, 
18770421,0.000000, 
18770422,0.000000, 
18770423,0.000000, 
18770424,0.000000, 
18770425,0.000000, 
18770426,0.000000, 
18770427,0.000000, 
18770428,1.600000, 
18770429,2.800000, 
18770430,0.000000, 
18770501,0.6000000, 
18770502,3.000000, 
18770503,0.6000000, 
18770504,0.000000, 
18770505,0.000000, 
18770506,0.000000, 
18770507,0.000000, 
18770508,0.3000000, 
18770509,0.000000, 
18770510,2.700000, 
18770511,1.200000, 
18770512,0.1000000, 
18770513,0.000000, 
18770514,0.3000000, 
18770515,4.000000, 
18770516,0.000000, 
18770517,0.000000, 
18770518,0.000000, 
18770519,6.500000, 
18770520,3.500000, 
18770521,0.6000000, 
18770522,0.000000, 
18770523,0.000000, 
18770524,0.000000, 
18770525,0.000000, 
18770526,0.2000000, 
18770527,0.000000, 
18770528,1.000000, 
18770529,9.400001, 
18770530,0.000000, 
18770531,2.400000, 
18770601,14.20000, 
18770602,0.000000, 
18770603,0.000000, 
18770604,0.000000, 
18770605,0.000000, 
18770606,0.000000, 
18770607,0.000000, 
18770608,0.000000, 
18770609,0.000000, 
18770610,1.000000, 
18770611,7.599999, 
18770612,5.100000, 
18770613,0.000000, 
18770614,0.000000, 
18770615,0.000000, 
18770616,0.000000, 
18770617,0.000000, 
18770618,0.000000, 
18770619,0.000000, 
18770620,0.000000, 
18770621,0.000000, 
18770622,0.000000, 
18770623,4.100000, 
18770624,0.000000, 
18770625,0.000000, 
18770626,0.6000000, 
18770627,1.700000, 
18770628,0.000000, 
18770629,0.000000, 
18770630,0.000000, 
18770701,0.5000000, 
18770702,0.6000000, 
18770703,0.000000, 
18770704,1.500000, 
18770705,0.000000, 
18770706,4.300000, 
18770707,0.2000000, 
18770708,0.1000000, 
18770709,19.00000, 
18770710,0.000000, 
18770711,0.000000, 
18770712,1.300000, 
18770713,0.4000000, 
18770714,0.000000, 
18770715,3.600000, 
