Month,,Temperature
18760101,2.200000,,
18760102,2.500000,,
18760103,0.3000000,,
18760104,-5.800000,,
18760105,-9.800000,,
18760106,-7.700000,,
18760107,-6.599999,,
18760108,-8.900001,,
18760109,-12.70000,,
18760110,-8.900001,,
18760111,-6.200000,,
18760112,-4.600000,,
18760113,-3.500000,,
18760114,-3.600000,,
18760115,-3.100000,,
18760116,-2.300000,,
18760117,-1.200000,,
18760118,0.8000001,,
18760119,3.800000,,
18760120,3.300000,,
18760121,3.900000,,
18760122,1.000000,,
18760123,0.6000000,,
18760124,2.500000,,
18760125,2.800000,,
18760126,0.3000000,,
18760127,-0.8000001,,
18760128,-2.200000,,
18760129,-1.300000,,
18760130,0.6999999,,
18760131,0.3000000,,
18760201,-1.200000,,
18760202,0.2000000,,
18760203,0.8000001,,
18760204,1.900000,,
18760205,0.6000000,,
18760206,-0.8000001,,
18760207,0.000000,,
18760208,-3.100000,,
18760209,-0.6000000,,
18760210,-2.100000,,
18760211,-4.600000,,
18760212,-1.200000,,
18760213,-5.400001,,
18760214,-0.5000000,,
18760215,3.400000,,
18760216,5.400001,,
18760217,5.599999,,
18760218,6.599999,,
18760219,8.099999,,
18760220,5.200000,,
18760221,3.900000,,
18760222,10.10000,,
18760223,8.400001,,
18760224,4.900000,,
18760225,2.900000,,
18760226,4.000000,,
18760227,7.200000,,
18760228,7.500000,,
18760229,2.100000,,
18760301,6.800000,,
18760302,8.200000,,
18760303,5.599999,,
18760304,9.700000,,
18760305,6.200000,,
18760306,6.500000,,
18760307,6.000000,,
18760308,3.900000,,
18760309,5.400001,,
18760310,4.500000,,
18760311,6.300000,,
18760312,6.200000,,
18760313,5.300000,,
18760314,4.600000,,
18760315,7.300000,,
18760316,4.700000,,
18760317,2.500000,,
18760318,2.900000,,
18760319,2.200000,,
18760320,2.300000,,
18760321,1.400000,,
18760322,-0.3000000,,
18760323,2.600000,,
18760324,3.100000,,
18760325,2.200000,,
18760326,0.3000000,,
18760327,1.600000,,
18760328,5.700000,,
18760329,10.00000,,
18760330,10.30000,,
18760331,9.900001,,
18760401,9.900001,,
18760402,12.80000,,
18760403,10.80000,,
18760404,7.900001,,
18760405,9.400001,,
18760406,10.60000,,
18760407,8.599999,,
18760408,10.20000,,
18760409,12.40000,,
18760410,12.90000,,
18760411,10.80000,,
18760412,5.599999,,
18760413,3.700000,,
18760414,5.100000,,
18760415,6.500000,,
18760416,5.900001,,
18760417,8.900001,,
18760418,11.10000,,
18760419,12.70000,,
18760420,13.30000,,
18760421,14.20000,,
18760422,9.300000,,
18760423,11.60000,,
18760424,7.800000,,
18760425,9.800000,,
18760426,11.10000,,
