Jahr,Gesamtbestand 1.1,Neupflanzungen,Fällungen,Bestandskorrekturen,Gesamtbestand 31.12.,Bestandsveränderung (Fällungen/Neupflanzungen)
2010,434.371,2.717,3.782,2.37,435.676,-1.065
2011,435.676,3.681,4.146,3.695,438.906,-465
2012,438.74,2.74,4.594,3.085,439.971,-1.854
2013,439.971,2.395,3.999,-403,437.964,-1.604
2014,437.964,2.349,4.437,3.319,439.195,-2.088
2015,439.195,1.874,5.267,2.357,438.159,-3.393
2016,438.159,1.797,5.222,3.191,437.925,-3.425
2017,437.925,1.777,7.883,1.118,432.937,-6.106
2018,432.937,2.135,6.228,2.212,431.056,-4.093
2019,431.056,3.05,6.034,3.029,431.101,-2.984
2020,431.101,3.178,5.833,1.912,430.358,-2.655
,,,,,,
